may-24;12136;19445;Catalunya
abr-24;13156;20217;Catalunya
mar-24;11918;18522;Catalunya
feb-24;11423;17637;Catalunya
ene-24;10597;16368;Catalunya
dic-23;13420;18523;Catalunya
nov-23;13048;19800;Catalunya
oct-23;14002;21211;Catalunya
sep-23;9721;15126;Catalunya
ago-23;8636;13411;Catalunya
jul-23;12421;19527;Catalunya
jun-23;13493;20963;Catalunya
may-23;12901;20432;Catalunya
abr-23;10213;16035;Catalunya
mar-23;12988;19809;Catalunya
feb-23;10411;15418;Catalunya
ene-23;10077;15356;Catalunya
dic-22;10546;15219;Catalunya
nov-22;11185;17097;Catalunya
oct-22;10410;15759;Catalunya
sep-22;10085;15709;Catalunya
ago-22;7289;11078;Catalunya
jul-22;10736;16793;Catalunya
jun-22;10966;17468;Catalunya
may-22;11577;18318;Catalunya
abr-22;10405;15497;Catalunya
mar-22;10358;16164;Catalunya
feb-22;11208;16241;Catalunya
ene-22;7422;12236;Catalunya
dic-21;13293;18195;Catalunya
nov-21;11208;16701;Catalunya
oct-21;9814;15222;Catalunya
sep-21;9400;15236;Catalunya
ago-21;7174;10916;Catalunya
jul-21;12668;19507;Catalunya
jun-21;12609;19718;Catalunya
may-21;12275;18851;Catalunya
abr-21;10684;16711;Catalunya
mar-21;12307;19489;Catalunya
feb-21;9230;14163;Catalunya
ene-21;7951;11786;Catalunya
dic-20;17020;22864;Catalunya
nov-20;13715;19159;Catalunya
oct-20;14428;20723;Catalunya
sep-20;12624;18980;Catalunya
ago-20;10473;15578;Catalunya
jul-20;18604;27371;Catalunya
jun-20;13300;20532;Catalunya
may-20;5271;8667;Catalunya
abr-20;381;959;Catalunya
mar-20;5747;9160;Catalunya
feb-20;14510;20747;Catalunya
ene-20;14578;20642;Catalunya
dic-19;16401;22040;Catalunya
nov-19;17457;23567;Catalunya
oct-19;18579;25838;Catalunya
sep-19;14069;20118;Catalunya
ago-19;12516;17436;Catalunya
jul-19;21571;30351;Catalunya
jun-19;19430;27123;Catalunya
may-19;21129;29372;Catalunya
abr-19;17985;25529;Catalunya
mar-19;20119;27357;Catalunya
feb-19;16634;22636;Catalunya
ene-19;16277;22575;Catalunya
dic-18;16447;22044;Catalunya
nov-18;17838;23968;Catalunya
oct-18;16489;24021;Catalunya
sep-18;12023;18244;Catalunya
ago-18;16224;22108;Catalunya
jul-18;21910;30697;Catalunya
jun-18;21166;29832;Catalunya
may-18;20785;29256;Catalunya
abr-18;18227;25289;Catalunya
mar-18;19418;26466;Catalunya
feb-18;17560;23547;Catalunya
ene-18;18045;24196;Catalunya
dic-17;17389;22450;Catalunya
nov-17;18855;25227;Catalunya
oct-17;17151;23498;Catalunya
sep-17;15005;20997;Catalunya
ago-17;13032;17859;Catalunya
jul-17;20312;27822;Catalunya
jun-17;20671;28792;Catalunya
may-17;19427;27085;Catalunya
abr-17;15591;21562;Catalunya
mar-17;19703;26635;Catalunya
feb-17;15093;20015;Catalunya
ene-17;14602;19386;Catalunya
dic-16;16036;23147;Catalunya
nov-16;17393;24724;Catalunya
oct-16;16015;22479;Catalunya
sep-16;15063;22264;Catalunya
ago-16;11446;16129;Catalunya
jul-16;19072;26621;Catalunya
jun-16;18368;26249;Catalunya
may-16;17151;24107;Catalunya
abr-16;17000;24406;Catalunya
mar-16;16837;23160;Catalunya
feb-16;14417;19821;Catalunya
ene-16;12655;17647;Catalunya
dic-15;16549;22026;Catalunya
nov-15;15366;20843;Catalunya
oct-15;15364;21625;Catalunya
sep-15;12545;18611;Catalunya
ago-15;9912;13865;Catalunya
jul-15;19063;27266;Catalunya
jun-15;15892;22901;Catalunya
may-15;14589;20686;Catalunya
abr-15;14985;21213;Catalunya
mar-15;15585;21694;Catalunya
feb-15;12683;17259;Catalunya
ene-15;11447;15567;Catalunya
dic-14;12880;17197;Catalunya
nov-14;12599;17021;Catalunya
oct-14;14375;20184;Catalunya
sep-14;9554;14538;Catalunya
ago-14;7553;10571;Catalunya
jul-14;13373;19114;Catalunya
jun-14;12275;17008;Catalunya
may-14;13334;18636;Catalunya
abr-14;11617;16539;Catalunya
mar-14;10977;15467;Catalunya
feb-14;9892;13498;Catalunya
ene-14;8233;11593;Catalunya
dic-13;10890;14328;Catalunya
nov-13;9667;13021;Catalunya
oct-13;11076;15830;Catalunya
sep-13;7986;11866;Catalunya
ago-13;7049;9879;Catalunya
jul-13;13022;18112;Catalunya
jun-13;9920;14099;Catalunya
may-13;11292;16123;Catalunya
abr-13;8118;11823;Catalunya
mar-13;9332;12798;Catalunya
feb-13;7559;10643;Catalunya
ene-13;7940;11028;Catalunya
dic-12;8402;11144;Catalunya
nov-12;7042;9942;Catalunya
oct-12;8345;12183;Catalunya
sep-12;6062;9268;Catalunya
ago-12;7737;11365;Catalunya
jul-12;11236;16525;Catalunya
jun-12;10330;15194;Catalunya
may-12;9619;13970;Catalunya
abr-12;8454;12061;Catalunya
mar-12;11074;15431;Catalunya
feb-12;8849;12354;Catalunya
ene-12;7734;11150;Catalunya
dic-11;10853;14476;Catalunya
nov-11;8813;12189;Catalunya
oct-11;10085;14903;Catalunya
sep-11;9463;14317;Catalunya
ago-11;7189;10274;Catalunya
jul-11;12374;18713;Catalunya
jun-11;10742;16290;Catalunya
may-11;10684;16123;Catalunya
abr-11;9232;13864;Catalunya
mar-11;11494;16723;Catalunya
feb-11;9271;13348;Catalunya
ene-11;8029;11597;Catalunya
dic-10;10634;15268;Catalunya
nov-10;10792;15849;Catalunya
oct-10;10949;16205;Catalunya
sep-10;9412;14464;Catalunya
ago-10;6534;10047;Catalunya
jul-10;12559;18826;Catalunya
jun-10;16937;24475;Catalunya
may-10;15282;21587;Catalunya
abr-10;14058;19512;Catalunya
mar-10;16784;22561;Catalunya
feb-10;12992;17067;Catalunya
ene-10;10793;14796;Catalunya
dic-09;14241;19324;Catalunya
nov-09;14359;19598;Catalunya
oct-09;16127;22222;Catalunya
sep-09;11529;16506;Catalunya
ago-09;8122;11722;Catalunya
jul-09;16657;23791;Catalunya
jun-09;12642;18513;Catalunya
may-09;9975;14966;Catalunya
abr-09;9215;13988;Catalunya
mar-09;10365;15282;Catalunya
feb-09;9156;13026;Catalunya
ene-09;8684;12188;Catalunya
dic-08;10580;16061;Catalunya
nov-08;9785;14484;Catalunya
oct-08;12434;19048;Catalunya
sep-08;9756;15750;Catalunya
ago-08;8303;13387;Catalunya
jul-08;17574;27950;Catalunya
jun-08;13435;21250;Catalunya
may-08;15528;23895;Catalunya
abr-08;17828;27012;Catalunya
mar-08;15930;23104;Catalunya
feb-08;17431;25299;Catalunya
ene-08;14414;21729;Catalunya
dic-07;19072;28786;Catalunya
nov-07;18486;28236;Catalunya
oct-07;20216;31187;Catalunya
sep-07;14241;22520;Catalunya
ago-07;13689;21814;Catalunya
jul-07;24851;39399;Catalunya
jun-07;23670;37310;Catalunya
may-07;20391;33446;Catalunya
abr-07;17065;26997;Catalunya
mar-07;22727;35479;Catalunya
feb-07;17727;26969;Catalunya
ene-07;18274;28800;Catalunya
dic-06;18966;28245;Catalunya
nov-06;20493;31838;Catalunya
oct-06;20592;32094;Catalunya
sep-06;16398;25844;Catalunya
ago-06;14157;22937;Catalunya
jul-06;27393;41835;Catalunya
jun-06;24501;39494;Catalunya
may-06;22909;36038;Catalunya
abr-06;19745;30195;Catalunya
mar-06;25719;38456;Catalunya
feb-06;19206;28659;Catalunya
ene-06;18536;26769;Catalunya
dic-05;22653;32647;Catalunya
nov-05;21463;32187;Catalunya
oct-05;19585;29685;Catalunya
sep-05;18753;28903;Catalunya
ago-05;15524;23466;Catalunya
jul-05;30786;44734;Catalunya
jun-05;25933;38564;Catalunya
may-05;23686;34917;Catalunya
abr-05;23008;34083;Catalunya
mar-05;24404;34145;Catalunya
feb-05;20338;28199;Catalunya
ene-05;17403;24870;Catalunya
dic-04;25118;33795;Catalunya
nov-04;22527;32378;Catalunya
oct-04;21880;31135;Catalunya
sep-04;17212;23692;Catalunya
ago-04;14254;19286;Catalunya
jul-04;30172;39994;Catalunya
jun-04;26332;35351;Catalunya
may-04;21579;29064;Catalunya
abr-04;21200;28511;Catalunya
mar-04;25453;33524;Catalunya
feb-04;19262;25719;Catalunya
ene-04;18026;23812;Catalunya
dic-03;22888;29617;Catalunya
nov-03;20768;27259;Catalunya
oct-03;22562;30359;Catalunya
sep-03;15063;20230;Catalunya
ago-03;13193;17635;Catalunya
jul-03;33143;41943;Catalunya
jun-03;23269;30170;Catalunya
may-03;22982;29960;Catalunya
abr-03;19960;26520;Catalunya
mar-03;21118;27723;Catalunya
feb-03;16464;21743;Catalunya
ene-03;16826;22205;Catalunya
dic-02;19605;25067;Catalunya
nov-02;17052;22848;Catalunya
oct-02;20237;26868;Catalunya
sep-02;13477;17914;Catalunya
ago-02;12975;16877;Catalunya
jul-02;27385;34647;Catalunya
jun-02;21016;26709;Catalunya
may-02;21193;27715;Catalunya
abr-02;18653;24265;Catalunya
mar-02;18379;23767;Catalunya
feb-02;16950;21722;Catalunya
ene-02;16673;21681;Catalunya
dic-01;16474;21182;Catalunya
nov-01;19452;25401;Catalunya
oct-01;19947;26106;Catalunya
sep-01;14747;19050;Catalunya
ago-01;14792;19108;Catalunya
jul-01;27543;34980;Catalunya
jun-01;26015;33005;Catalunya
may-01;24647;30857;Catalunya
abr-01;20182;25972;Catalunya
mar-01;26482;33237;Catalunya
feb-01;20932;26923;Catalunya
ene-01;17211;22722;Catalunya
dic-00;17717;22824;Catalunya
nov-00;19532;25903;Catalunya
oct-00;18822;25758;Catalunya
sep-00;15127;20199;Catalunya
ago-00;13934;18391;Catalunya
jul-00;27546;35196;Catalunya
jun-00;26203;34018;Catalunya
may-00;24501;31828;Catalunya
abr-00;21039;27041;Catalunya
mar-00;26704;35030;Catalunya
feb-00;22277;29076;Catalunya
ene-00;17832;23218;Catalunya
dic-99;23202;29820;Catalunya
nov-99;22294;29459;Catalunya
oct-99;22509;28948;Catalunya
sep-99;16830;22772;Catalunya
ago-99;13757;18131;Catalunya
jul-99;30977;40155;Catalunya
jun-99;27660;35813;Catalunya
may-99;22432;29113;Catalunya
abr-99;21130;27465;Catalunya
mar-99;27335;34939;Catalunya
feb-99;20733;26546;Catalunya
ene-99;15467;20696;Catalunya
dic-98;23429;29891;Catalunya
nov-98;20274;26770;Catalunya
oct-98;20594;26897;Catalunya
sep-98;14305;19084;Catalunya
ago-98;11396;15235;Catalunya
jul-98;28188;35816;Catalunya
jun-98;21477;27663;Catalunya
may-98;18929;24591;Catalunya
abr-98;18813;24600;Catalunya
mar-98;21273;27305;Catalunya
feb-98;16819;21631;Catalunya
ene-98;14432;19038;Catalunya
dic-97;18592;23907;Catalunya
